source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"LIC plans foray in fintech space, strategic investment also on table: CEO Doraiswamy - The Economic Times","LIC plans foray in fintech space, strategic investment also on table: CEO Doraiswamy  The Economic Times",2026-05-31 08:00:07,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC Eyes Fintech Expansion with Possible Strategic Investments - Devdiscourse,LIC Eyes Fintech Expansion with Possible Strategic Investments  Devdiscourse,2026-05-31 07:14:26,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,PIB denies rumours about alleged notice issued by LIC - News On AIR,PIB denies rumours about alleged notice issued by LIC  News On AIR,2026-05-30 18:51:00,,0.0,0.196,0.804,-0.6808,Negative
GoogleNews,"Nagpur’s Sumita Shrivastava creates national record, emerges as India’s No. 1 LIC agent - Nagpur Today","Nagpur’s Sumita Shrivastava creates national record, emerges as India’s No. 1 LIC agent  Nagpur Today",2026-05-30 09:31:15,,0.127,0.0,0.873,0.4939,Positive
GoogleNews,What Happens To F&O Holdings In A Bonus Issue? LIC's 1:1 Bonus Issue Explained - Outlook Money,What Happens To F&O Holdings In A Bonus Issue? LIC's 1:1 Bonus Issue Explained  Outlook Money,2026-05-30 08:34:07,,0.331,0.0,0.669,0.9367,Positive
GoogleNews,Rs 6 LPA government job at LIC or Rs 18 LPA in corporate? Professional's career dilemma sparks debate - Moneycontrol.com,Rs 6 LPA government job at LIC or Rs 18 LPA in corporate? Professional's career dilemma sparks debate  Moneycontrol.com,2026-05-30 07:46:18,,0.0,0.092,0.908,-0.4137,Negative
GoogleNews,"LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list - The Economic Times","LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list  The Economic Times",2026-05-30 04:56:23,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list - The Economic Times","LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list  The Economic Times",2026-05-30 04:52:13,,0.0,0.0,1.0,0.0,Neutral
EconomicTimes_TopStories,<![CDATA[WHO announces 1st Ebola recovery in Congo]]>,The World Health Organization has announced a significant development in the Democratic Republic of Congo. A confirmed Ebola patient has recovered and been discharged from a care center. This marks the first such recovery among laboratory-confirmed cases. The outbreak has seen numerous deaths and suspected cases. Neighboring Uganda has also reported confirmed cases and one death.,2026-05-30 00:31:55,,0.071,0.087,0.842,-0.2714,Negative
GoogleNews,"LIC launches New Jeevan Sathi Single Premium plan; check death cover, benefits and key features - The Economic Times","LIC launches New Jeevan Sathi Single Premium plan; check death cover, benefits and key features  The Economic Times",2026-05-29 12:18:01,,0.113,0.17,0.717,-0.5574,Negative
